ID	Gene.symbol	Gene.title	log2(fold change)(TX vs NR)	-log10(Pvalue)(TX vs NR)
1693_s_at	TIMP1	TIMP metallopeptidase inhibitor 1	-0.634	2.446
1695_at	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	0.523	3.978
1696_at	POLB	DNA polymerase beta	-0.29	2.978
169_at	CDX1	caudal type homeobox 1	-0.634	2.404
1700_at	MIR3190///MIR3191///BBC3	microRNA 3190///microRNA 3191///BCL2 binding component 3	-0.509	3.65
1701_at	TEP1	telomerase associated protein 1	-0.372	3.531
1703_g_at	E2F4	E2F transcription factor 4	-0.314	2.112
1704_at	VAV2	vav guanine nucleotide exchange factor 2	-0.53	2.118
1705_s_at	RARB	retinoic acid receptor beta	-0.672	3.734
1706_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.381	3.557
1707_g_at	ARAF	A-Raf proto-oncogene, serine/threonine kinase	-0.408	3.595
1708_at	MAPK10	mitogen-activated protein kinase 10	0.643	3.328
1709_g_at	MAPK10	mitogen-activated protein kinase 10	-0.477	3.557
170_at	CDX2	caudal type homeobox 2	-0.442	3.946
1711_at	TP53BP1	tumor protein p53 binding protein 1	-0.268	1.659
1713_s_at	CDKN2A	cyclin dependent kinase inhibitor 2A	-0.619	4.318
1716_at	KSR1	kinase suppressor of ras 1	-0.423	4.217
1719_at	MSH3	mutS homolog 3	1.735	7.655
171_at	VBP1	VHL binding protein 1	1.159	5.423
1720_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	-0.472	2.902
1722_at	MAP2K5	mitogen-activated protein kinase kinase 5	-0.419	2.323
1724_at	E2F4	E2F transcription factor 4	-0.313	2.505
1725_s_at	UBE3A	ubiquitin protein ligase E3A	0.846	2.966
1726_at	POLE	DNA polymerase epsilon, catalytic subunit	-0.257	2.237
1728_at	COMMD3-BMI1///BMI1	COMMD3-BMI1 readthrough///BMI1 proto-oncogene, polycomb ring finger	1.157	5.1
172_at	INPP5D	inositol polyphosphate-5-phosphatase D	-0.448	1.701
1735_g_at	TGFB3	transforming growth factor beta 3	-0.406	2.411
1737_s_at	IGFBP4	insulin like growth factor binding protein 4	1.236	3.289
1738_at	CDC25A	cell division cycle 25A	-0.593	5.198
1739_at	FOLH1B///FOLH1	folate hydrolase 1B///folate hydrolase (prostate-specific membrane antigen) 1	1.412	5.643
173_at	CDH18	cadherin 18	-0.872	4.439
1744_at			-0.425	3.404
1745_at	RET	ret proto-oncogene	-0.823	4.515
1747_at	DNASE2	deoxyribonuclease 2, lysosomal	-0.267	2.512
1750_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	-0.416	4.197
1751_g_at	FARSA	phenylalanyl-tRNA synthetase alpha subunit	0.456	3.202
1754_at	DAXX	death domain associated protein	-0.313	1.705
1760_s_at	PTPN7	protein tyrosine phosphatase, non-receptor type 7	-0.441	4.362
1761_at	PDGFRL	platelet derived growth factor receptor like	-0.841	5.064
1762_at	PMS2P4	PMS1 homolog 2, mismatch repair system component pseudogene 4	-0.467	1.712
1763_at	PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 5	-0.371	2.582
1764_s_at	MAZ	MYC associated zinc finger protein	-0.419	1.998
1767_s_at	TGFB3	transforming growth factor beta 3	-0.429	2.859
1769_at	MAST1	microtubule associated serine/threonine kinase 1	-0.435	3.351
176_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	0.981	5.725
1772_s_at	FNTA	farnesyltransferase, CAAX box, alpha	0.791	2.977
1773_at	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta	-0.345	4.292
1776_at	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator	-0.384	1.742
1777_at	RIN1	Ras and Rab interactor 1	-0.47	2.858
1778_g_at	RIN1	Ras and Rab interactor 1	-0.543	2.806
177_at	PLD1	phospholipase D1	-0.632	3.119
1780_at	FGR	FGR proto-oncogene, Src family tyrosine kinase	-0.373	2.451
1781_at	ELK1	ELK1, ETS transcription factor	-0.364	2.622
1785_at	KDM5A	lysine demethylase 5A	0.802	5.21
1786_at	MERTK	MER proto-oncogene, tyrosine kinase	-0.323	2.615
1787_at	CDKN1C	cyclin dependent kinase inhibitor 1C	0.515	3.681
1788_s_at	DUSP4	dual specificity phosphatase 4	-0.304	2.458
1789_at	COPS5	COP9 signalosome subunit 5	1.384	6.537
178_f_at	PMS2P1	PMS1 homolog 2, mismatch repair system component pseudogene 1	0.603	3.213
1791_s_at	IFNA2	interferon alpha 2	-0.351	2.265
1796_s_at	MIR8085///BCL3	microRNA 8085///B-cell CLL/lymphoma 3	-0.729	5.437
1798_at	SLC39A6	solute carrier family 39 member 6	1.052	4.581
179_at	DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene	-0.585	5.815
1803_at	CDK1	cyclin dependent kinase 1	-0.741	4.201
1804_at	KLK3	kallikrein related peptidase 3	-0.764	6.478
1805_g_at	KLK3	kallikrein related peptidase 3	-0.853	2.533
1807_g_at	MCF2	MCF.2 cell line derived transforming sequence	-0.553	2.676
180_at	MBOAT7	membrane bound O-acyltransferase domain containing 7	-0.554	1.965
1810_s_at	PRKCD	protein kinase C delta	-0.514	2.984
1811_at	PTPRH	protein tyrosine phosphatase, receptor type H	-0.693	3.349
1812_s_at	MET	MET proto-oncogene, receptor tyrosine kinase	0.435	1.864
1813_at	RHBDF1	rhomboid 5 homolog 1	-0.598	2.941
1814_at	TGFBR2	transforming growth factor beta receptor 2	0.65	2.292
1815_g_at	TGFBR2	transforming growth factor beta receptor 2	1.262	4.427
1821_at	RAP2B	RAP2B, member of RAS oncogene family	-0.599	6.087
1823_g_at	RET	ret proto-oncogene	-0.506	3.23
1825_at	IQGAP1	IQ motif containing GTPase activating protein 1	0.766	2.309
1826_at	RHOB	ras homolog family member B	0.424	2.978
1827_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.824	5.142
1833_at	CDK2	cyclin dependent kinase 2	-0.216	2.116
1836_at	CCNI	cyclin I	0.495	1.905
1837_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.621	4.497
1838_g_at	RRAS2	related RAS viral (r-ras) oncogene homolog 2	0.419	2.651
183_at	MAP2	microtubule associated protein 2	-0.52	2.831
1846_at	LGALS8	galectin 8	0.711	2.694
1848_at	RAP1A	RAP1A, member of RAS oncogene family	1.635	4.578
184_at	APLNR	apelin receptor	-0.459	3.189
1850_at	MLH1	mutL homolog 1	-0.402	1.804
1851_s_at	FASLG	Fas ligand	-0.346	2.681
1853_at	WNT1	Wnt family member 1	-0.557	5.878
1855_at	FGF3	fibroblast growth factor 3	-0.292	1.745
1857_at	SMAD7	SMAD family member 7	0.936	6.261
1858_at	FASLG	Fas ligand	-0.406	1.797
1862_at	ATM	ATM serine/threonine kinase	-0.439	1.83
1865_at	SKIL	SKI-like proto-oncogene	-0.818	2.094
1869_at	TERT	telomerase reverse transcriptase	-0.314	2.4
1870_at	PTPN11	protein tyrosine phosphatase, non-receptor type 11	-0.692	2.627
1873_at	XPC	XPC complex subunit, DNA damage recognition and repair factor	0.785	7.778
1875_f_at	PMS2P3	PMS1 homolog 2, mismatch repair system component pseudogene 3	0.885	6.361
1877_g_at	RALA	RALA Ras like proto-oncogene A	1.006	8.136
1878_g_at	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit	-0.603	5.936
1882_g_at	MECOM	MDS1 and EVI1 complex locus	0.746	2.913
1884_s_at	PCNA	proliferating cell nuclear antigen	0.724	3.089
1886_at	WNT7A	Wnt family member 7A	-0.58	4.073
1888_s_at	KIT	KIT proto-oncogene receptor tyrosine kinase	-0.389	2.894
1892_s_at	NTRK1	neurotrophic receptor tyrosine kinase 1	-0.522	3.396
1894_f_at	NF2	neurofibromin 2	-1.929	10.135
1896_s_at	ABCC1	ATP binding cassette subfamily C member 1	-0.485	3.176
1898_at	TRIM29	tripartite motif containing 29	-0.587	3.623
1899_s_at	RAD52	RAD52 homolog, DNA repair protein	-0.516	1.656
1903_at	RAP1B	RAP1B, member of RAS oncogene family	1.213	4.851
1908_at	ETV3	ETS variant 3	-0.349	1.714
1909_at	BCL2	BCL2, apoptosis regulator	0.801	4.308
1911_s_at	GADD45A	growth arrest and DNA damage inducible alpha	0.785	1.993
1912_s_at	APC	APC, WNT signaling pathway regulator	-0.339	3.522
1913_at	CCNG2	cyclin G2	1.334	7.085
1914_at	CCNA1	cyclin A1	-0.388	1.722
1917_at	RAF1	Raf-1 proto-oncogene, serine/threonine kinase	0.283	2.017
1918_at	SKI	SKI proto-oncogene	-0.997	6.014
191_at	MUC8	mucin 8	-0.351	1.942
1920_s_at	CCNG1	cyclin G1	0.619	2.605
1924_at	CCNH	cyclin H	0.676	4.178
1925_at	CCNF	cyclin F	-0.769	6.259
1928_s_at	SMAD2	SMAD family member 2	0.544	3.912
1929_at	ANGPT1	angiopoietin 1	0.427	2.769
192_at	TAF7	TATA-box binding protein associated factor 7	0.491	1.792
1930_at	ABCC3	ATP binding cassette subfamily C member 3	-0.612	4.985
1932_at	ABCC5	ATP binding cassette subfamily C member 5	-0.275	2.133
1935_at	MDM4	MDM4, p53 regulator	-0.32	2.422
1936_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.401	3.7
1937_at			1.914	11.242
1938_at	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	-0.594	7.465
1939_at	TP53	tumor protein p53	-0.398	3.034
193_at	AK6///TAF9	adenylate kinase 6///TATA-box binding protein associated factor 9	0.475	1.815
1940_at	KRAS	KRAS proto-oncogene, GTPase	1.06	3.236
1941_at	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase	-0.391	2.484
1943_at	CCNA2	cyclin A2	-0.436	4.333
1946_at	WT1-AS	WT1 antisense RNA	-1.025	7.55
1947_g_at	WT1-AS	WT1 antisense RNA	-0.487	4.399
1950_s_at	SMAD3	SMAD family member 3	-0.718	3.541
1952_s_at	SMAD5	SMAD family member 5	1.546	6.623
1956_s_at			-0.576	4.222
1957_s_at	TGFBR1	transforming growth factor beta receptor 1	-0.369	2.519
195_s_at	CASP4	caspase 4	0.867	1.852
1961_f_at	NOS3	nitric oxide synthase 3	-0.535	2.86
1967_f_at			-0.694	5.267
1968_g_at	FIP1L1///PDGFRA	factor interacting with PAPOLA and CPSF1///platelet derived growth factor receptor alpha	-0.894	4.14
1970_s_at	FGFR2	fibroblast growth factor receptor 2	-0.639	3.183
1972_s_at	MAP2	microtubule associated protein 2	-0.5	3.893
1973_s_at	MYC	v-myc avian myelocytomatosis viral oncogene homolog	-0.484	3.65
1974_s_at	TP53	tumor protein p53	-0.318	1.975
1975_s_at	IGF1	insulin like growth factor 1	-0.635	5.068
1976_s_at	FES	FES proto-oncogene, tyrosine kinase	-0.583	5.055
1977_s_at	ETS1	ETS proto-oncogene 1, transcription factor	-0.446	2.032
1978_at	ITGA2	integrin subunit alpha 2	-0.333	2.443
1983_at	CCND2	cyclin D2	-0.308	3.365
1988_at	PDGFRA	platelet derived growth factor receptor alpha	-0.806	7.011
1991_s_at	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3	-0.39	2.067
1996_s_at	CCNF	cyclin F	-0.281	1.723
1998_i_at	BAX	BCL2 associated X, apoptosis regulator	-0.864	3.732
1999_s_at	MAPK14	mitogen-activated protein kinase 14	-0.763	3.611
199_s_at	PKN2	protein kinase N2	0.759	4.6
2000_at	ATM	ATM serine/threonine kinase	0.871	3.803
2001_g_at	ATM	ATM serine/threonine kinase	-0.393	2.889
2003_s_at	MSH6	mutS homolog 6	0.431	3.155
2005_s_at	JAK3	Janus kinase 3	-0.535	2.904
2007_g_at	JAK3	Janus kinase 3	-0.716	6.506
2009_at	PTK2B	protein tyrosine kinase 2 beta	-0.497	2.924
2013_at	TFDP2	transcription factor Dp-2	-0.401	2.979
2014_s_at	MAP2K6	mitogen-activated protein kinase kinase 6	-0.681	3.625
2017_s_at	CCND1	cyclin D1	1.537	9.692
2018_at	GJA1	gap junction protein alpha 1	-0.497	1.761
2020_at	CCND1	cyclin D1	0.768	4.267
2028_s_at	E2F1	E2F transcription factor 1	-0.486	3.32
2030_at	WNT11	Wnt family member 11	-0.948	3.946
2032_s_at	ITGAV	integrin subunit alpha V	-0.464	2.015
2034_s_at	CDKN1B	cyclin dependent kinase inhibitor 1B	-0.44	2.573
2038_g_at	BCL2	BCL2, apoptosis regulator	-0.42	4.607
2039_s_at	FYN	FYN proto-oncogene, Src family tyrosine kinase	0.489	2.954
2040_s_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	-0.252	1.684
2042_s_at	MYB	MYB proto-oncogene, transcription factor	-1.092	4.182
2043_s_at	BCR	BCR, RhoGEF and GTPase activating protein	-0.501	1.894
2044_s_at	RB1	RB transcriptional corepressor 1	1.063	3.927
2046_at	ERG	ERG, ETS transcription factor	-0.412	4.131
204_at	HOXA4	homeobox A4	-0.567	5.163
2050_s_at	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	0.802	4.934
2051_at	MGMT	O-6-methylguanine-DNA methyltransferase	-0.356	2.166
2054_g_at	CDH2	cadherin 2	0.655	1.98
2058_s_at	ITGB5	integrin subunit beta 5	0.433	3.416
205_g_at	HOXA4	homeobox A4	-0.409	1.694
2060_at	BCL2	BCL2, apoptosis regulator	-0.485	2.873
2063_at	BIVM-ERCC5///ERCC5	BIVM-ERCC5 readthrough///ERCC excision repair 5, endonuclease	0.807	2.764
2066_at	BAX	BCL2 associated X, apoptosis regulator	-0.766	6.943
2067_f_at	BAX	BCL2 associated X, apoptosis regulator	-0.643	4.182
2068_s_at	E2F2	E2F transcription factor 2	-0.641	4.786
2069_s_at	CTNNA1	catenin alpha 1	0.936	2.56
2071_s_at	MAPK8	mitogen-activated protein kinase 8	-0.773	6.266
2072_at	CDH12	cadherin 12	-0.537	3.065
2073_s_at	CDH13	cadherin 13	-0.556	2.999
2078_s_at	MYCN	v-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-0.712	7.24
2079_s_at	IGF2	insulin like growth factor 2	-0.62	3.445
2082_s_at	CDH1	cadherin 1	-0.553	5.233
2084_s_at	ETV4	ETS variant 4	-0.912	2.529
2085_s_at	CTNNA1	catenin alpha 1	1.162	2.759
2086_s_at	TYRO3	TYRO3 protein tyrosine kinase	0.46	2.013
2087_s_at	CDH11	cadherin 11	0.833	2.126
208_at	CTNNA2	catenin alpha 2	-0.823	2.123
2090_i_at	WNT6	Wnt family member 6	-0.58	2.435
2091_at	WNT4	Wnt family member 4	-0.397	2.047
2093_s_at	XRCC5	X-ray repair cross complementing 5	0.971	4.111
2094_s_at	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-0.351	1.901
210_at	PLCB2	phospholipase C beta 2	-0.632	6.661
213_at	ROR1	receptor tyrosine kinase like orphan receptor 1	-0.56	3.411
214_at	MSX1	msh homeobox 1	-0.308	2.033
218_at	IK	IK cytokine, down-regulator of HLA II	0.8	3.534
220_r_at	MAP2	microtubule associated protein 2	-0.92	2.664
224_at	KLF10	Kruppel like factor 10	1.077	2.473
225_at	GNB3	G protein subunit beta 3	-0.527	3.585
226_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	1.476	5.257
227_g_at	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha	1.55	4.534
228_at	RALB	RALB Ras like proto-oncogene B	0.504	1.726
229_at	CEBPZ	CCAAT/enhancer binding protein zeta	0.455	2.435
230_s_at	FSHB	follicle stimulating hormone beta subunit	-0.651	1.938
231_at	TGM2	transglutaminase 2	-0.367	3.306
233_s_at	MATN1	matrilin 1, cartilage matrix protein	-0.417	3.036
235_at	S100B	S100 calcium binding protein B	-0.718	3.721
237_s_at	PPP2CA	protein phosphatase 2 catalytic subunit alpha	0.96	5.993
240_at	SRM	spermidine synthase	-0.329	3.759
241_g_at	SRM	spermidine synthase	-0.336	3.635
247_s_at	CYP21A1P///CYP21A2	cytochrome P450 family 21 subfamily A member 1, pseudogene///cytochrome P450 family 21 subfamily A member 2	-0.436	3.396
249_at	NFATC4	nuclear factor of activated T-cells 4	-0.356	2.583
251_at	CAMK1	calcium/calmodulin dependent protein kinase I	-0.409	2.797
252_at	GPR18	G protein-coupled receptor 18	-0.499	4.271
253_g_at	GPR18	G protein-coupled receptor 18	-0.651	3.537
255_s_at	INHA	inhibin alpha subunit	-0.754	7.976
257_at	ITGAV	integrin subunit alpha V	1.234	5.721
258_at	LTA	lymphotoxin alpha	-0.411	2.556
260_at	QDPR	quinoid dihydropteridine reductase	1.31	5.211
262_at	AMD1	adenosylmethionine decarboxylase 1	0.64	2.493
263_g_at	AMD1	adenosylmethionine decarboxylase 1	0.601	4.326
264_at	ADRA2A	adrenoceptor alpha 2A	-0.355	2.862
270_at	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-0.385	2.238
271_s_at	CTSE	cathepsin E	-0.499	2.974
272_at	GRP	gastrin releasing peptide	-0.843	4.671
273_g_at	GRP	gastrin releasing peptide	-0.249	1.907
274_at	ZNF148	zinc finger protein 148	0.383	2.082
276_at	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	0.946	2.184
277_at	MCL1	BCL2 family apoptosis regulator	0.727	2.21
278_at	NPR2	natriuretic peptide receptor 2	-0.474	2.981
279_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.317	2.284
280_g_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.755	5.633
281_s_at	PPP3CA	protein phosphatase 3 catalytic subunit alpha	-0.281	1.688
282_at	KIF20B	kinesin family member 20B	-0.557	4.919
283_at	UQCRC1	ubiquinol-cytochrome c reductase core protein I	0.788	2.263
284_at	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai	-0.698	3.547
288_s_at	LBR	lamin B receptor	0.818	2.825
290_s_at	GPR3	G protein-coupled receptor 3	-0.363	3.554
291_s_at	TACSTD2	tumor-associated calcium signal transducer 2	1.376	2.806
292_s_at	CLK1	CDC like kinase 1	0.706	2.598
293_at	VENTXP7	VENT homeobox pseudogene 7	-0.316	3.234
294_s_at	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B	-0.561	6.548
296_at	TUBB2A	tubulin beta 2A class IIa	1.362	3.912
297_g_at	TUBB2A	tubulin beta 2A class IIa	0.702	3.497
298_at	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	-0.745	3.808
299_i_at			-0.697	2.332
301_at	LOC100508689	mucin	-0.704	8.055
302_at			-0.581	3.44
303_at	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1	-0.593	5.433
305_g_at	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2	0.741	6.496
306_s_at	HMGN1	high mobility group nucleosome binding domain 1	0.716	2.264
307_at	ALOX5	arachidonate 5-lipoxygenase	-0.452	2.07
310_s_at	MAPT	microtubule associated protein tau	0.354	1.93
31308_at			-0.576	1.881
31309_r_at			-0.876	2.254
31310_at	GLRA1	glycine receptor alpha 1	-0.331	2.056
31312_at	KCNB2	potassium voltage-gated channel subfamily B member 2	-1.295	2.975
31317_r_at	SKAP2///IGHG1	src kinase associated phosphoprotein 2///immunoglobulin heavy constant gamma 1 (G1m marker)	-0.733	5.119
31320_at	GPR12	G protein-coupled receptor 12	-0.546	3.646
31323_r_at	SLC1A2	solute carrier family 1 member 2	-0.424	2.385
31325_at			-0.584	3.064
31326_at	C1orf68	chromosome 1 open reading frame 68	-0.386	2.049
31328_at	SLC34A1	solute carrier family 34 member 1	1.927	8.466
31331_at			-0.329	1.76
31332_at			-0.568	3.232
31333_at	TLL1	tolloid like 1	-0.553	1.798
31334_at	GPR45	G protein-coupled receptor 45	-0.702	2.005
31335_at	IGF1R	insulin like growth factor 1 receptor	-0.463	5.178
31337_at	GNRH2	gonadotropin releasing hormone 2	-1.14	3.693
31339_at	PI15	peptidase inhibitor 15	-0.941	3.469
31340_at	MMP20	matrix metallopeptidase 20	-0.503	1.832
31342_at	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	-0.503	3.841
31343_at	IL1RN	interleukin 1 receptor antagonist	-0.807	4.283
31351_at			-0.671	2.556
31354_r_at	FOXE1	forkhead box E1	-0.515	3.32
31355_at	ASCL2	achaete-scute family bHLH transcription factor 2	-0.267	1.868
31357_at			-0.331	2.098
31358_at			-0.323	1.957
31359_at	NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	-0.455	1.779
31363_at			-0.549	4.131
31364_i_at	NFAT5	nuclear factor of activated T-cells 5	-0.537	2.005
31366_at	NR2E3	nuclear receptor subfamily 2 group E member 3	-0.338	1.824
31369_at			-0.523	3.014
31372_at	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	-0.366	2.147
31373_at			-0.438	3.154
31374_at			-0.389	2.63
31376_at			-0.611	1.972
31377_r_at			-0.466	3.823
31378_at	PITX3	paired like homeodomain 3	-0.482	4.017
31380_at	ERN1	endoplasmic reticulum to nucleus signaling 1	-0.336	2.03
31381_at	PGLYRP1	peptidoglycan recognition protein 1	-0.367	2.379
31384_at			-0.331	2.048
31387_at			-0.385	3.096
31391_at	HAP1	huntingtin associated protein 1	-0.399	3.294
31393_r_at	UTF1	undifferentiated embryonic cell transcription factor 1	-0.996	4.671
31394_at	SERPINI2	serpin family I member 2	-0.57	1.723
31396_r_at	MSI1	musashi RNA binding protein 1	-0.705	4.443
31398_at	ABCB11	ATP binding cassette subfamily B member 11	-0.357	2.204
313_at	GTF2A1	general transcription factor IIA subunit 1	-0.58	5.244
31405_at	MTNR1B	melatonin receptor 1B	-0.288	2.772
31406_at	GPR50	G protein-coupled receptor 50	-0.446	4.879
31409_at	SERPINB10	serpin family B member 10	-0.633	4.109
31410_at	TNFRSF13B	TNF receptor superfamily member 13B	-0.299	1.965
31411_at	BPY2	basic charge, Y-linked, 2	-0.504	2.776
31413_at	TTTY1B///TTTY1	testis-specific transcript, Y-linked 1B (non-protein coding)///testis-specific transcript, Y-linked 1 (non-protein coding)	-0.263	1.671
31415_at	XKRY2///XKRY	XK related, Y-linked 2///XK related, Y-linked	-0.27	1.89
31419_r_at			-0.794	4.693
31420_at			-0.397	2.384
31423_at			-1.203	3.526
31425_g_at	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	-0.488	3.048
31426_at	GPR15	G protein-coupled receptor 15	-0.361	2.927
31427_at			0.931	4.986
31429_at	YME1L1	YME1 like 1 ATPase	-0.475	1.928
31431_at	FCGRT	Fc fragment of IgG receptor and transporter	0.878	4.356
31432_g_at	FCGRT	Fc fragment of IgG receptor and transporter	0.774	6.233
31435_at	ADAM7	ADAM metallopeptidase domain 7	-0.565	3.409
31437_r_at	ESR2	estrogen receptor 2	-0.435	2.317
31439_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	-0.354	1.833
31440_at	TCF7	transcription factor 7 (T-cell specific, HMG-box)	-0.495	5.034
31441_at	ECRP	ribonuclease A family member 2 pseudogene	-0.558	3.256
31443_at	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1	-0.349	2.026
31451_at	ARHGAP1	Rho GTPase activating protein 1	-0.397	3.411
31453_s_at	LILRA1	leukocyte immunoglobulin like receptor A1	-0.528	2.991
31456_at			-0.457	1.811
31457_at	FOXD2	forkhead box D2	-0.506	3.433
31458_at	KRT76	keratin 76	-0.308	1.995
31462_f_at	SSX5	SSX family member 5	-0.625	3.882
31465_g_at	DCT	dopachrome tautomerase	-0.467	5.862
31466_at	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene)	-0.427	3.105
31467_at	HLA-DOA	major histocompatibility complex, class II, DO alpha	-0.352	2.457
