ID	Gene.symbol	Gene.title	log2(fold change)(AR vs Control)	-log10(Pvalue)(AR vs Control)
34918_at	SCN2B	sodium voltage-gated channel beta subunit 2	0.563	3.506
34919_at	CYTH3	cytohesin 3	-0.212	2.208
34923_at	IQSEC2	IQ motif and Sec7 domain 2	-0.264	2.328
34924_at	KIF1B	kinesin family member 1B	-0.429	2.291
34925_at	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	-0.531	2.848
34926_at	CD1A	CD1a molecule	-0.418	3.483
34930_at	GPR65	G protein-coupled receptor 65	1.989	5.105
34934_at	HCG26	HLA complex group 26 (non-protein coding)	0.303	1.958
34935_at	FMO2	flavin containing monooxygenase 2	-0.363	2.57
34936_at	SLC4A7	solute carrier family 4 member 7	0.738	3.627
34938_i_at	PP14571	uncharacterized LOC100130449	-0.952	4.502
34939_r_at	PP14571	uncharacterized LOC100130449	-0.804	3.187
34944_at			-0.424	2.553
34946_at	IGSF6	immunoglobulin superfamily member 6	1.436	2.601
34948_at	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	0.492	2.841
34955_at	ABCC4	ATP binding cassette subfamily C member 4	-0.506	2.659
34957_at	FAM50B	family with sequence similarity 50 member B	-0.618	6.326
34961_at	CD96	CD96 molecule	0.559	3.568
34965_at	CST7	cystatin F	0.952	5.543
34970_r_at	OPLAH	5-oxoprolinase (ATP-hydrolysing)	-0.382	3.435
34974_at	ADAMDEC1	ADAM like decysin 1	0.788	3.151
34982_at	CYP26A1	cytochrome P450 family 26 subfamily A member 1	-0.347	3.294
34987_s_at	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	1.285	7.451
34989_at	ZNF137P	zinc finger protein 137, pseudogene	0.705	3.847
34991_at	SGCD	sarcoglycan delta	-0.541	2.391
34995_at	CALCRL	calcitonin receptor like receptor	0.369	2.497
34996_at	TMPRSS2	transmembrane protease, serine 2	-0.221	2.481
35003_at	KCTD20	potassium channel tetramerization domain containing 20	-0.627	3.784
35004_at	DHRS2	dehydrogenase/reductase 2	-0.587	4.549
35005_at	NME6	NME/NM23 nucleoside diphosphate kinase 6	-0.498	3.33
35009_at	LRP2	LDL receptor related protein 2	-1.061	3.878
35011_at	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	-0.816	5.837
35012_at	MNDA	myeloid cell nuclear differentiation antigen	2.177	4.332
35014_at	LOC100293211///IGHG1	uncharacterized LOC100293211///immunoglobulin heavy constant gamma 1 (G1m marker)	-0.415	2.838
35016_at	CD74	CD74 molecule	1.533	5.947
35017_f_at	HLA-J	major histocompatibility complex, class I, J (pseudogene)	1.464	4.952
35022_at	SOX5	SRY-box 5	-0.387	1.929
35032_at	PDE6C	phosphodiesterase 6C	-0.519	2.932
35045_r_at	EVX1	even-skipped homeobox 1	-0.306	2.946
35047_at	RFX2	regulatory factor X2	-0.273	2.534
35054_at			-0.591	3.514
35061_at	CXCL11	C-X-C motif chemokine ligand 11	1.462	2.132
35064_at	TRIM31	tripartite motif containing 31	-0.393	1.999
35075_at	RPUSD2	RNA pseudouridylate synthase domain containing 2	-0.285	2.428
35079_at	CNTN6	contactin 6	0.685	2.105
35081_at	FGF9	fibroblast growth factor 9	-0.719	2.239
35087_at			-0.413	5.243
35088_at	CCR8	C-C motif chemokine receptor 8	0.515	2.847
35096_at	SLC1A6	solute carrier family 1 member 6	-0.429	4.279
35107_at	TNFSF11	tumor necrosis factor superfamily member 11	-0.619	3.645
35108_at	BMS1P21///MBL1P	BMS1, ribosome biogenesis factor pseudogene 21///mannose binding lectin 1, pseudogene	-0.562	4.452
35110_at	MPHOSPH8	M-phase phosphoprotein 8	-0.73	3.459
35112_at	RGS9	regulator of G-protein signaling 9	-0.259	1.94
35130_at	GSR	glutathione-disulfide reductase	-0.5	4.389
35139_at	ZNF248	zinc finger protein 248	0.332	2.135
35144_at	ZC3H7B	zinc finger CCCH-type containing 7B	-0.349	2.113
35145_at	MNT	MAX network transcriptional repressor	0.413	1.9
35146_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	-0.281	2.037
35152_at	RAMP3	receptor (G protein-coupled) activity modifying protein 3	0.628	3.281
35153_at	NBN	nibrin	1.184	3.235
35156_at	R3HCC1	R3H domain and coiled-coil containing 1	0.375	2.959
35163_at	FOXJ3	forkhead box J3	0.608	3.589
35164_at	WFS1	wolframin ER transmembrane glycoprotein	0.344	2.135
35169_at	COL16A1	collagen type XVI alpha 1 chain	-0.405	3.706
35171_at	SPAST	spastin	0.964	2.984
35173_at	PNPLA4	patatin like phospholipase domain containing 4	0.4	2.182
35178_at	WIF1	WNT inhibitory factor 1	-0.697	3.082
35187_at	TRIM33	tripartite motif containing 33	0.431	2.698
35189_at	C2CD2L	C2CD2 like	-0.441	2.138
35190_at	THAP3	THAP domain containing 3	-0.343	2.037
35192_at	GLDC	glycine decarboxylase	-0.649	3.078
35193_at	RCBTB2	RCC1 and BTB domain containing protein 2	0.474	2.254
35194_at	GPX2	glutathione peroxidase 2	-0.406	2.331
35209_at	EPM2AIP1	EPM2A interacting protein 1	0.399	2.377
35210_at	KIAA0753	KIAA0753	0.388	2.979
35211_at	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	-0.404	2.91
35212_at	RNF139	ring finger protein 139	0.832	3.48
35216_at	ME3	malic enzyme 3	-0.344	2.806
35220_at	ENPEP	glutamyl aminopeptidase	-1.329	2.921
35223_at	HPS5	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2	0.667	5.796
35232_f_at	CETN3	centrin 3	0.376	2.733
35237_at	COL21A1	collagen type XXI alpha 1 chain	-0.413	1.962
35238_at	TRAF5	TNF receptor associated factor 5	0.816	5.208
35244_at	RPRD2	regulation of nuclear pre-mRNA domain containing 2	-0.257	2.444
35248_at	SLC19A2	solute carrier family 19 member 2	-0.331	2.571
35252_at	C2CD5	C2 calcium dependent domain containing 5	0.462	3.173
35254_at	TRAFD1	TRAF-type zinc finger domain containing 1	0.406	2.257
35256_at	SLC5A6	solute carrier family 5 member 6	-0.852	3.355
35261_at	GMFG	glia maturation factor gamma	1.726	8.198
35265_at	FXR2	FMR1 autosomal homolog 2	-0.339	2.474
35268_at	MARCH7	membrane associated ring-CH-type finger 7	0.672	4.257
35270_at	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide	0.498	2.387
35271_at	ACTR3	ARP3 actin related protein 3 homolog	1.282	7.402
35272_at	GNG5	G protein subunit gamma 5	0.605	2.158
35273_at	MMS19	MMS19 homolog, cytosolic iron-sulfur assembly component	0.452	4.327
35275_at	CA12	carbonic anhydrase 12	-1.067	3.007
35277_at	SPON1	spondin 1	0.579	2.826
35279_at	TAX1BP1	Tax1 binding protein 1	0.746	2.62
35285_at	SLC4A4	solute carrier family 4 member 4	-1.591	5.658
35290_at	YTHDF3	YTH N6-methyladenosine RNA binding protein 3	0.46	2.371
35292_at	ATP6V1G2-DDX39B///SNORD84///DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B	0.645	2.829
35298_at	EIF3D	eukaryotic translation initiation factor 3 subunit D	0.678	4.197
35300_at	EPRS	glutamyl-prolyl-tRNA synthetase	0.411	2.567
35302_at	NXF1	nuclear RNA export factor 1	1.349	4.065
35303_at	INSIG1	insulin induced gene 1	0.994	2.6
35306_at	DHX15	DEAH-box helicase 15	0.642	2.577
35307_at	GDI2	GDP dissociation inhibitor 2	0.988	4.619
35310_at	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	0.944	8.899
35312_at	MCM2	minichromosome maintenance complex component 2	0.346	2.727
35317_at	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	0.607	4.026
35318_at	FAM20B	family with sequence similarity 20 member B	-0.502	1.922
35319_at	CTCF	CCCTC-binding factor	0.429	2.509
35320_at	SLC11A2	solute carrier family 11 member 2	0.42	2.235
35321_at	TLK2	tousled like kinase 2	0.521	2.985
35323_at	EIF3B	eukaryotic translation initiation factor 3 subunit B	0.305	2.584
35325_at	RAB14	RAB14, member RAS oncogene family	0.407	2.037
35329_at	CYB5R1	cytochrome b5 reductase 1	0.359	1.887
35330_at	FLNC	filamin C	-0.606	2.392
35336_at	SUN2	Sad1 and UNC84 domain containing 2	0.31	1.897
35337_at	FBXO7	F-box protein 7	-0.284	2.301
35340_at	RAB8A	RAB8A, member RAS oncogene family	0.623	4.823
35341_at	TRIM38	tripartite motif containing 38	0.411	1.992
35349_at	COPS3	COP9 signalosome subunit 3	0.565	5.735
35351_at	RBM14-RBM4///RBM4	RBM14-RBM4 readthrough///RNA binding motif protein 4	0.477	3.36
35359_at	PUM2	pumilio RNA binding family member 2	0.33	2.326
35360_at	MICU1	mitochondrial calcium uptake 1	-0.389	4.283
35368_at	ZNF207	zinc finger protein 207	0.652	3.018
35387_r_at	ACHE	acetylcholinesterase (Cartwright blood group)	-0.546	3.543
35392_g_at	ADAM22	ADAM metallopeptidase domain 22	-0.601	3.821
35399_at	MOCS3	molybdenum cofactor synthesis 3	-0.527	2.959
353_at	PITPNB	phosphatidylinositol transfer protein beta	0.243	1.891
35401_s_at	MMP17	matrix metallopeptidase 17	-0.448	2.011
35402_at	TNFRSF21	TNF receptor superfamily member 21	-0.38	3.161
35404_at	TACR2	tachykinin receptor 2	-1.001	3.599
35412_at	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11	-0.36	1.873
35416_at	CUBN	cubilin	-0.718	5.1
35419_g_at	HEXA	hexosaminidase subunit alpha	-0.477	4.117
35420_r_at	ZSWIM8	zinc finger SWIM-type containing 8	-0.633	4.111
35424_g_at	GRM5	glutamate metabotropic receptor 5	-0.556	3.476
35431_g_at	MED6	mediator complex subunit 6	-0.323	2.067
35435_s_at	HADH	hydroxyacyl-CoA dehydrogenase	-1.114	4.797
35436_at	GOLGA2	golgin A2	-0.419	3.413
35439_at	SF1	splicing factor 1	-0.36	3.745
35445_at	ARHGAP33	Rho GTPase activating protein 33	-0.38	3.074
35446_at	ARHGAP33	Rho GTPase activating protein 33	-0.468	4.637
35449_at	KLRB1	killer cell lectin like receptor B1	0.995	4.073
35455_i_at	ZNF197	zinc finger protein 197	-0.416	2.013
35459_at	RGS13	regulator of G-protein signaling 13	0.693	2.401
35461_at	PLA2R1	phospholipase A2 receptor 1	-0.36	1.923
35466_at	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	-0.24	2.392
35472_at	KCNJ15	potassium voltage-gated channel subfamily J member 15	-0.902	3.16
35479_at	ADAM28	ADAM metallopeptidase domain 28	0.648	4.531
35482_at	AKR1C4	aldo-keto reductase family 1, member C4	-0.655	3.268
35487_at	BRDT	bromodomain testis associated	-0.431	1.851
35490_at	PWAR5	Prader Willi/Angelman region RNA 5	-0.509	2.375
35492_at	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-0.734	6.675
35497_at	TSPAN2	tetraspanin 2	-0.534	4.372
354_s_at	RECQL	RecQ like helicase	1.146	3.312
35504_at	ARID1A	AT-rich interaction domain 1A	-0.522	2.035
35514_at			-0.475	2.801
35516_at	SMG7-AS1	SMG7 antisense RNA 1	-0.27	2.322
35518_at	PPP1R3A	protein phosphatase 1 regulatory subunit 3A	-1.08	6.577
35523_at	HPGDS	hematopoietic prostaglandin D synthase	-0.331	3.28
35526_at	C9	complement component 9	-0.37	2.241
35529_at	TREH	trehalase	-0.375	3.125
35533_f_at	KLRC4-KLRK1///KLRK1///KLRC4	KLRC4-KLRK1 readthrough///killer cell lectin like receptor K1///killer cell lectin like receptor C4	0.418	3.433
35547_at	SLC16A7	solute carrier family 16 member 7	-0.834	5.239
35548_at			-0.422	2.078
35549_at	RPL39L	ribosomal protein L39 like	0.567	4.255
35550_at	PCYT1B	phosphate cytidylyltransferase 1, choline, beta	-0.399	2.357
35551_g_at	PCYT1B	phosphate cytidylyltransferase 1, choline, beta	-0.435	4.326
35553_at	TSPYL1	TSPY like 1	-0.421	3.296
35555_r_at	ZIC2	Zic family member 2	-0.457	3.849
35564_at	LOC105377443	uncharacterized LOC105377443	-0.55	1.954
35566_f_at	IGHV3-23///IGHV4-31///IGHM///IGHG1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)	1.075	2.203
35567_at	C20orf194	chromosome 20 open reading frame 194	-0.609	6.203
35569_at	ZMIZ2	zinc finger MIZ-type containing 2	-0.195	2.231
35574_i_at			-0.468	2.593
35578_at			-0.678	2.5
35580_at	ADCY1	adenylate cyclase 1	-0.568	3.389
35581_at	TET1	tet methylcytosine dioxygenase 1	-0.476	2.561
35584_s_at	CACNA1F	calcium voltage-gated channel subunit alpha1 F	-0.405	2.636
35585_at	ERV9-1	endogenous retrovirus group 9 member 1	-0.241	2.028
35590_s_at	GIPR	gastric inhibitory polypeptide receptor	0.845	4.292
35594_at	PNLIPRP2	pancreatic lipase related protein 2 (gene/pseudogene)	-0.573	3.17
