ID	Gene.symbol	Gene.title	log2(fold change)(TX vs Control)	-log10(Pvalue)(TX vs Control)
31768_at	HIST1H2AH///HIST1H2AG///HIST1H2AM///HIST1H2AL///HIST1H2AK///HIST1H2AI	histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2am///histone cluster 1, H2al///histone cluster 1, H2ak///histone cluster 1, H2ai	-0.65	5.619
31769_at	WNT8B	Wnt family member 8B	-0.25	1.534
31771_at	TEX41	testis expressed 41 (non-protein coding)	-0.396	2.222
31772_at	OVOL3	ovo like zinc finger 3	-0.612	6.623
31773_at	CYB561	cytochrome b561	0.342	2.352
31774_at			-0.399	1.854
31775_at	SFTPD	surfactant protein D	-0.551	2.667
31777_at	MUSK	muscle associated receptor tyrosine kinase	-0.483	4.257
31778_at	GJA8	gap junction protein alpha 8	-0.561	6.544
31779_s_at	PRDM1	PR/SET domain 1	-0.311	2.663
31781_at	CDRT1	CMT1A duplicated region transcript 1	-0.611	4.297
31784_at	NTN3	netrin 3	-0.575	5.777
31786_at	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3	0.394	3.077
31793_at	DEFA1B///DEFA3///DEFA1	defensin alpha 1B///defensin alpha 3///defensin alpha 1	-0.427	1.923
31794_at	NT5C2	5'-nucleotidase, cytosolic II	0.621	2.315
31796_at	KIF1C	kinesin family member 1C	-0.864	6.665
31797_at	TBPL1	TATA-box binding protein like 1	0.719	4.545
31799_at			-0.468	2.914
317_at	LGMN	legumain	-0.326	1.593
31800_at			0.632	6.36
31802_at	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein	0.537	3.691
31803_at	ICOSLG	inducible T-cell costimulator ligand	-0.363	3.006
31804_f_at	SULT1A1	sulfotransferase family 1A member 1	0.357	3.111
31805_at	FGFR3	fibroblast growth factor receptor 3	0.382	2.291
31806_at	FMO1	flavin containing monooxygenase 1	0.77	2.004
31807_at	DDX49	DEAD-box helicase 49	-0.421	3.886
31808_at	ING3	inhibitor of growth family member 3	1.049	6.323
31812_at	GMPR	guanosine monophosphate reductase	-0.212	1.601
31813_at	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	-0.472	3.242
31814_i_at	LRP3	LDL receptor related protein 3	-0.334	1.982
31815_r_at	LRP3	LDL receptor related protein 3	-1.454	11.523
31817_at	GABRB3	gamma-aminobutyric acid type A receptor beta3 subunit	0.303	2.077
31818_at			-0.513	5.597
31819_at	SLC22A24	solute carrier family 22 member 24	-0.489	3.526
31820_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	0.942	2.892
31822_at	CUX1	cut like homeobox 1	-0.414	2.891
31823_at	CUX1	cut like homeobox 1	-0.874	3.926
31824_at	ME1	malic enzyme 1	0.45	1.986
31825_at	SERPIND1	serpin family D member 1	-0.942	6.187
31826_at	FKBP15	FK506 binding protein 15	0.417	5.265
31828_r_at	TGOLN2	trans-golgi network protein 2	-0.292	2.286
31829_r_at	TGOLN2	trans-golgi network protein 2	0.907	5.253
31831_at	SMTN	smoothelin	-0.278	2.539
31832_at	NEMP1	nuclear envelope integral membrane protein 1	0.703	6.368
31833_at	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	-0.282	2.871
31834_r_at	ACSL6	acyl-CoA synthetase long-chain family member 6	-0.771	3.345
31835_at	HRG	histidine rich glycoprotein	-0.528	4.485
31838_at	FAM216A	family with sequence similarity 216 member A	1.089	7.166
31840_at	IDE	insulin degrading enzyme	0.314	2.706
31841_at	CTNNA2	catenin alpha 2	-0.848	3.507
31842_at	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	-0.303	1.716
31843_at	ESRRG	estrogen related receptor gamma	0.915	5.416
31844_at	HGD	homogentisate 1,2-dioxygenase	0.717	2.591
31847_at	USPL1	ubiquitin specific peptidase like 1	0.45	3.339
31850_at	GCLC	glutamate-cysteine ligase catalytic subunit	1.014	7.667
31851_at	TRIM13	tripartite motif containing 13	0.729	4.848
31852_at	ANKMY2	ankyrin repeat and MYND domain containing 2	0.449	4.434
31853_at	EED	embryonic ectoderm development	0.743	2.045
31855_at	SRPX	sushi repeat containing protein, X-linked	-0.405	3.106
31857_r_at	DHX34	DEAH-box helicase 34	-1.332	4.771
31858_at	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2	0.577	3.259
31863_at	RRP1B	ribosomal RNA processing 1B	0.827	4.465
31865_at	DBF4	DBF4 zinc finger	0.543	2.4
31866_at	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component	0.538	2.726
31867_at	BBX	BBX, HMG-box containing	1.933	13.201
31868_at	STK16	serine/threonine kinase 16	-0.417	4.236
31869_at	SWAP70	SWAP switching B-cell complex 70kDa subunit	1.222	8.07
31871_r_at	EHHADH	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase	0.987	5.437
31872_at	SS18	SS18, nBAF chromatin remodeling complex subunit	0.609	5.533
31877_at	CDC23	cell division cycle 23	0.363	2.223
31879_at	FUBP3	far upstream element binding protein 3	0.549	3.536
31880_at	UBXN8	UBX domain protein 8	0.544	4.578
31881_at	SGMS1	sphingomyelin synthase 1	1.227	6.132
31882_at	RRP9	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)	-0.29	3.481
31883_at	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	0.98	6.164
31884_at	MLH3	mutL homolog 3	0.437	4.504
31885_at	PTPN3	protein tyrosine phosphatase, non-receptor type 3	1.256	12.065
31886_at	NT5E	5'-nucleotidase ecto	-0.408	2.423
31887_at	CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B	-0.284	1.565
31890_s_at	ZNF143	zinc finger protein 143	0.697	3.43
31891_at	CHI3L2	chitinase 3 like 2	-0.735	3.973
31893_at	ARL2	ADP ribosylation factor like GTPase 2	0.565	3.133
31895_at	GRIK1-AS2///BACH1	GRIK1 antisense RNA 2///BTB domain and CNC homolog 1	1.153	4.796
31896_at	NBAS	neuroblastoma amplified sequence	0.636	5.21
31899_at	EMC2	ER membrane protein complex subunit 2	0.625	2.25
318_at	H1FX	H1 histone family member X	-0.733	5.802
31901_at	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	0.398	1.794
31905_at	GALR2	galanin receptor 2	-0.396	2.738
31906_at	HSBP1	heat shock factor binding protein 1	1.274	7.175
31908_at	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-0.664	7.378
31912_at	FOXH1	forkhead box H1	-0.385	2.273
31915_at	DRP2	dystrophin related protein 2	-0.388	4.044
31917_at	PCDHA13	protocadherin alpha 13	-0.324	2.873
31920_at	CDON	cell adhesion associated, oncogene regulated	-0.407	3.002
31921_at	OR2F1	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	0.382	2.511
31925_s_at	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	-0.515	5.444
31927_s_at	C21orf33	chromosome 21 open reading frame 33	0.421	2.366
31929_at	RFX3	regulatory factor X3	-0.65	7.962
31930_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	-0.556	5.49
31931_f_at	RHD///RHCE	Rh blood group D antigen///Rh blood group CcEe antigens	-0.553	4.37
31932_f_at	BTF3	basic transcription factor 3	1.038	2.787
31933_r_at	BTF3	basic transcription factor 3	-0.897	11.505
31936_s_at	KIAA0430	KIAA0430	0.709	7.923
31937_at	KIAA0430	KIAA0430	-0.382	2.527
31938_g_at	KIAA0430	KIAA0430	-0.452	2.396
31939_at	ADGRB3	adhesion G protein-coupled receptor B3	-0.71	4.219
31941_s_at	RFPL2///RFPL3///RFPL1	ret finger protein like 2///ret finger protein like 3///ret finger protein like 1	0.397	1.807
31942_at	TULP3	tubby like protein 3	-0.294	3.421
31946_s_at	FOXG1	forkhead box G1	-0.501	3.35
31947_r_at	FOXG1	forkhead box G1	-0.97	7.96
31950_at	PABPC1	poly(A) binding protein cytoplasmic 1	0.845	3.314
31951_s_at	PABPC1	poly(A) binding protein cytoplasmic 1	0.858	4.272
31952_at	RPL6	ribosomal protein L6	0.512	1.627
31953_f_at	GAGE3	G antigen 3	-0.989	2.17
31955_at	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion	0.569	2.228
31956_f_at	RPLP1	ribosomal protein lateral stalk subunit P1	0.569	2.133
31958_i_at			-0.392	3.432
31960_f_at	GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1	G antigen 12D///G antigen 8///G antigen 12F///G antigen 2A///G antigen 12H///G antigen 12E///G antigen 12B///G antigen 12C///G antigen 2D///G antigen 12J///G antigen 12G///G antigen 13///G antigen 2E///G antigen 12I///G antigen 7///G antigen 6///G antigen 5///G antigen 4///G antigen 2C///G antigen 1	-0.269	1.596
31961_r_at			-0.444	2.787
31963_at	SERPINA2	serpin family A member 2 (gene/pseudogene)	-0.408	1.688
31964_at			-0.67	2.755
31965_at	ADGRE2	adhesion G protein-coupled receptor E2	-0.544	5.795
31966_at	DIO1	deiodinase, iodothyronine type I	1.059	2.514
31967_at	NPHS1	NPHS1, nephrin	-0.337	2.84
31968_at			-0.529	2.586
31969_i_at	PPEF2	protein phosphatase with EF-hand domain 2	-0.578	4.576
31970_r_at	PPEF2	protein phosphatase with EF-hand domain 2	-0.465	2.329
31971_at	LINC01565	long intergenic non-protein coding RNA 1565	-0.352	1.833
31973_at	CACNA1G	calcium voltage-gated channel subunit alpha1 G	-0.546	4.161
31974_at	CLDN14	claudin 14	-0.245	2.185
31975_at	MT4	metallothionein 4	0.288	2.404
31976_at	MEP1B	meprin A subunit beta	-0.387	3.057
31978_at	KIF25	kinesin family member 25	-0.564	4.261
31980_at	FOXN1	forkhead box N1	-0.498	5.629
31982_at	SORBS1	sorbin and SH3 domain containing 1	-0.543	1.789
31983_at	EMX2	empty spiracles homeobox 2	-0.89	5.744
31984_at	LILRP2	leukocyte immunoglobulin-like receptor pseudogene 2	-0.487	2.237
31985_at	PHIP	pleckstrin homology domain interacting protein	-0.272	1.513
31986_at	REPS1	RALBP1 associated Eps domain containing 1	-1.01	3.144
31987_at			-0.407	3.585
31990_at	KIF17	kinesin family member 17	-0.447	1.955
31994_at	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	-0.865	4.015
31995_g_at	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	-0.671	3.837
31996_at	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2	-0.438	6.937
31997_at			-0.364	2.723
31998_at	ABCA1	ATP binding cassette subfamily A member 1	-0.661	4.896
32004_s_at	CDK11A///CDK11B	cyclin dependent kinase 11A///cyclin dependent kinase 11B	-0.523	3.781
32006_r_at	SMR3B	submaxillary gland androgen regulated protein 3B	-0.534	3.688
32007_at			-0.263	1.588
32008_at	FUT9	fucosyltransferase 9	-0.435	2.4
32012_at	PCNX1	pecanex homolog 1 (Drosophila)	-0.885	3.699
32013_at	ZFHX2	zinc finger homeobox 2	-0.524	4.036
32015_at	PYGO1	pygopus family PHD finger 1	-1.166	7.677
32016_at	C22orf24	chromosome 22 open reading frame 24	-0.58	6.461
32018_at	PARD6B	par-6 family cell polarity regulator beta	-0.53	2.204
32019_at	OBSCN///DKFZP434C153	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF///DKFZP434C153 protein	-0.572	4.291
32020_at	FAM205BP	transmembrane protein C9orf144B pseudogene	-0.638	1.799
32023_at	ZNF391	zinc finger protein 391	-0.832	3.896
32024_at	KHDRBS2	KH RNA binding domain containing, signal transduction associated 2	-1.014	9.742
32026_s_at	RAPGEF2	Rap guanine nucleotide exchange factor 2	1.023	6.085
32031_at	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-0.45	5.028
32034_at	ZNF217	zinc finger protein 217	0.975	6.895
32035_at	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	0.887	3.687
32036_i_at	RPP14	ribonuclease P/MRP subunit p14	0.691	2.895
32038_s_at	SRSF8	serine and arginine rich splicing factor 8	0.314	1.994
32039_at	AP3B1	adaptor related protein complex 3 beta 1 subunit	0.605	7.301
32040_i_at	CDC5L	cell division cycle 5 like	0.565	2.546
32041_r_at	CDC5L	cell division cycle 5 like	0.756	3.065
32046_at	PRKCD	protein kinase C delta	0.494	1.675
32047_at	DFFA	DNA fragmentation factor subunit alpha	-0.454	4.886
32048_at	TCEB3-AS1	TCEB3 antisense RNA 1	-0.448	2.549
32050_r_at	TCEB3	transcription elongation factor B subunit 3	-0.553	6.41
32051_at	ALG8	ALG8, alpha-1,3-glucosyltransferase	-0.302	3.149
32052_at	HBB	hemoglobin subunit beta	2.778	4.783
32058_at	CHST10	carbohydrate sulfotransferase 10	-0.638	5.302
32059_at	UBXN2B	UBX domain protein 2B	0.937	3.18
32063_at	PBX1	PBX homeobox 1	0.253	1.77
32064_at	MED1	mediator complex subunit 1	-0.434	1.953
32068_at	C3AR1	complement component 3a receptor 1	-0.844	5.954
32069_at	N4BP1	NEDD4 binding protein 1	1.489	3.213
32071_at	ZNF609	zinc finger protein 609	-0.342	3.021
32072_at	MSLN	mesothelin	-0.421	7.485
32075_at	ZBTB14	zinc finger and BTB domain containing 14	0.651	3.137
32076_at	RCAN2	regulator of calcineurin 2	0.445	2.25
32077_s_at	KCNQ1	potassium voltage-gated channel subfamily Q member 1	-0.391	2.866
32079_at	KIF13B	kinesin family member 13B	-0.348	3.66
32080_at	MFSD10	major facilitator superfamily domain containing 10	-0.573	3.77
32081_at	MIR1178///CIT	microRNA 1178///citron rho-interacting serine/threonine kinase	0.282	1.665
32083_at	GPR137B	G protein-coupled receptor 137B	0.941	5.721
32085_at	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	1.097	8.638
32086_at	ZNF184	zinc finger protein 184	-0.739	5.387
32087_at	HSF2	heat shock transcription factor 2	0.917	6.003
32088_at	BLZF1	basic leucine zipper nuclear factor 1	0.833	1.914
32090_at	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	-0.463	3.671
32091_at	SLC25A44	solute carrier family 25 member 44	0.454	2.641
32093_at	CHD5	chromodomain helicase DNA binding protein 5	-0.682	3.44
32094_at	CHST3	carbohydrate sulfotransferase 3	-0.592	5.068
32095_at	IPO13	importin 13	-0.333	4.033
32096_at	TRMT1	tRNA methyltransferase 1	-0.52	5.259
32098_at	COL6A2	collagen type VI alpha 2 chain	-0.466	5.655
32100_r_at	GALNS	galactosamine (N-acetyl)-6-sulfatase	-1.149	7.97
32101_at	GALNS	galactosamine (N-acetyl)-6-sulfatase	-0.62	8.987
32104_i_at	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	-0.298	2.34
32108_at	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	0.248	2.092
32109_at	FXYD1	FXYD domain containing ion transport regulator 1	-0.687	4.453
32110_at	LOC339166///WSCD1	uncharacterized LOC339166///WSC domain containing 1	-0.622	3.383
32111_at	CDYL	chromodomain Y-like	0.686	5.111
32112_s_at	AIM1	absent in melanoma 1	1.052	7.336
32113_at	AIM1	absent in melanoma 1	-0.79	3.967
32117_at	AATF	apoptosis antagonizing transcription factor	0.512	2.902
32119_at	ZBTB20	zinc finger and BTB domain containing 20	1.39	6.753
32120_at	SPAG5	sperm associated antigen 5	0.521	4.059
32122_at	SUOX	sulfite oxidase	-0.737	5.158
32123_at	COL7A1	collagen type VII alpha 1 chain	-0.237	2.271
32124_at	THOC2	THO complex 2	0.553	5.415
32125_at	THOC2	THO complex 2	0.649	5.923
32128_at	CCL18	C-C motif chemokine ligand 18	-0.669	1.86
32129_at	RNF115	ring finger protein 115	1.245	10.775
32130_at	PTOV1-AS1	PTOV1 antisense RNA 1	0.309	2.382
32134_at	TES	testin LIM domain protein	0.717	4.48
32135_at	SREBF1	sterol regulatory element binding transcription factor 1	-0.394	3.856
32136_r_at	TPD52L1	tumor protein D52-like 1	-1.27	2.663
32142_at	STK3	serine/threonine kinase 3	0.655	3.695
32143_at	OSR2	odd-skipped related transciption factor 2	-0.534	6.267
32145_at	ADD1	adducin 1	0.488	2.857
32148_at	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	0.632	7.317
32149_at	MSMB	microseminoprotein beta	-0.832	4.401
32150_at	GOLGA4	golgin A4	1.158	7.249
32154_at	TFAP2A	transcription factor AP-2 alpha	-0.572	3.785
32155_at	TFAP2A	transcription factor AP-2 alpha	-0.483	3.199
32159_at	KRAS	KRAS proto-oncogene, GTPase	0.635	6.005
32160_at	SIAH1	siah E3 ubiquitin protein ligase 1	1.386	9.814
32161_at	LOC100507577///LONP2	uncharacterized LOC100507577///lon peptidase 2, peroxisomal	1.281	8.148
32162_r_at			-0.888	6.406
32163_f_at	ERVH-1	endogenous retrovirus group H member 1	0.419	4.75
32164_at	EXT1	exostosin glycosyltransferase 1	0.611	4.433
32165_at	SRSF7	serine and arginine rich splicing factor 7	0.93	7.13
32166_at	TLN1	talin 1	0.606	2.324
32167_at	PMPCB	peptidase, mitochondrial processing beta subunit	0.986	8.827
32168_s_at	RCAN1	regulator of calcineurin 1	1.343	4.914
32169_at	FBXO21	F-box protein 21	0.648	3.551
32171_at	EIF5	eukaryotic translation initiation factor 5	1.078	4.971
32172_at	SPEN	spen family transcriptional repressor	0.236	1.737
32174_at	SLC9A3R1	SLC9A3 regulator 1	-0.655	3.748
32175_at	SEPT7	septin 7	1.352	6.443
32176_at	RASA4B///RASA4CP///RASA4	RAS p21 protein activator 4B///RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4	-0.76	6.871
32177_s_at	RASA4B///RASA4CP///RASA4	RAS p21 protein activator 4B///RAS p21 protein activator 4C, pseudogene///RAS p21 protein activator 4	-0.202	2.348
32178_r_at	SNAP23	synaptosome associated protein 23	1.2	3.17
32181_at	FLOT2	flotillin 2	-0.762	6.139
32182_at	STK38L	serine/threonine kinase 38 like	0.316	2.525
32183_at	SRSF11	serine and arginine rich splicing factor 11	1.58	7.624
32184_at	LMO2	LIM domain only 2	-0.34	2.092
32185_at	WNK1	WNK lysine deficient protein kinase 1	0.805	2.751
32187_at	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	0.309	1.689
32188_at	MYT1	myelin transcription factor 1	-0.418	2.983
32189_g_at	MYT1	myelin transcription factor 1	-0.621	7.747
32190_at	FADS2	fatty acid desaturase 2	-0.517	5.123
32192_g_at	PCGF2	polycomb group ring finger 2	-0.688	6.598
32194_at	CEBPZ	CCAAT/enhancer binding protein zeta	1.03	8.039
32196_at	CAND1	cullin associated and neddylation dissociated 1	0.547	5.34
32197_at	SLC25A11	solute carrier family 25 member 11	0.579	6.689
321_at	WASL	Wiskott-Aldrich syndrome like	-0.639	3.887
32200_at	ACPP	acid phosphatase, prostate	0.82	5.725
32203_at	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1	0.882	10.118
32204_at	PDE6G	phosphodiesterase 6G	-0.6	8.579
32205_at	PRKRA	protein activator of interferon induced protein kinase EIF2AK2	1.292	9.174
32206_at	CDC42BPA	CDC42 binding protein kinase alpha	0.724	8.699
32207_at	MPP1	membrane palmitoylated protein 1	-0.808	9.826
32208_at	KIAA0355	KIAA0355	0.648	3.556
32210_at	PGM1	phosphoglucomutase 1	1.307	10.229
32211_at	PSMD13	proteasome 26S subunit, non-ATPase 13	0.492	4.368
32212_at	AIFM1	apoptosis inducing factor, mitochondria associated 1	0.662	2.88
32214_at	TXNL1	thioredoxin like 1	0.831	5.436
32215_i_at	RHOBTB3	Rho related BTB domain containing 3	1.575	4.536
32216_r_at	RHOBTB3	Rho related BTB domain containing 3	0.609	1.704
32217_at	CSRNP2	cysteine and serine rich nuclear protein 2	0.393	2.783
32218_at	NUDT3	nudix hydrolase 3	0.238	1.638
32219_at	TLK1	tousled like kinase 1	1.117	6.278
32220_at	HMGB1	high mobility group box 1	1.622	9.094
32221_at	MRPS18B	mitochondrial ribosomal protein S18B	1.505	8.831
32222_at	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein	0.407	3.445
32223_at	SUGP2	SURP and G-patch domain containing 2	0.386	2.998
32227_at	SRGN	serglycin	1.699	5.672
32228_at	AP2A2	adaptor related protein complex 2 alpha 2 subunit	-0.384	4.675
32230_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	0.67	3.609
32231_at			-0.696	4.082
32232_at	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5	0.847	4.489
32235_at	MGRN1	mahogunin ring finger 1	0.626	5.257
32236_at	UBE2G2	ubiquitin conjugating enzyme E2 G2	0.553	2.846
32237_at	KLHDC10	kelch domain containing 10	0.781	6.41
32238_at	BIN1	bridging integrator 1	0.347	2.062
32240_at	PSMD5	proteasome 26S subunit, non-ATPase 5	-0.42	1.609
32241_at	TARDBP	TAR DNA binding protein	1.213	7.948
32242_at	CRYAB	crystallin alpha B	1.235	3.277
32243_g_at	CRYAB	crystallin alpha B	1.266	2.796
32248_at	WDR82	WD repeat domain 82	-0.547	3.835
32249_at	CFHR1///CFH	complement factor H related 1///complement factor H	1.203	2.332
32251_at	TCEAL4	transcription elongation factor A like 4	1.441	6.81
32253_at	RERE	arginine-glutamic acid dipeptide repeats	1.145	7.979
32255_i_at	TERF1	telomeric repeat binding factor 1	1.917	9.185
32260_at	PEA15	phosphoprotein enriched in astrocytes 15	1.053	8.553
32262_at	METTL13	methyltransferase like 13	0.524	4.317
32265_at	NR4A1	nuclear receptor subfamily 4 group A member 1	-0.349	3.344
32266_at	CDH12	cadherin 12	-0.643	3.223
32267_at	ZNF345	zinc finger protein 345	0.612	6.323
32268_at	MAGI1	membrane associated guanylate kinase, WW and PDZ domain containing 1	-0.286	1.694
32271_at	FOSL1	FOS like 1, AP-1 transcription factor subunit	-0.401	4.933
32272_at	TUBA1B	tubulin alpha 1b	1.149	8.146
32274_r_at	XRCC6	X-ray repair cross complementing 6	-1.429	9.046
32280_at	GAD2	glutamate decarboxylase 2	-0.744	2.22
32281_at			-0.353	3.058
32283_at	LINC00893	long intergenic non-protein coding RNA 893	-0.92	3.366
32284_at	TBX1	T-box 1	-0.584	5.805
32285_g_at	TBX1	T-box 1	-0.47	3.805
32286_at	TBX1	T-box 1	-0.89	10.046
32289_at	PTPRS	protein tyrosine phosphatase, receptor type S	-0.556	5.732
32290_at	SCAMP1	secretory carrier membrane protein 1	-0.286	1.945
32291_at	UNC13A	unc-13 homolog A	-0.994	4.585
32292_at	COLEC10	collectin subfamily member 10	-0.431	2.878
32295_at	HCG9	HLA complex group 9 (non-protein coding)	-0.41	5.16
32296_at	CA5A	carbonic anhydrase 5A	-0.663	5.266
32297_s_at	KLRC2///KLRC1	killer cell lectin like receptor C2///killer cell lectin like receptor C1	0.351	1.845
32298_at	ADAM2	ADAM metallopeptidase domain 2	-1.346	5.837
