ID	Gene.symbol	Gene.title	log2(fold change)(AR vs TX)	-log10(Pvalue)(AR vs TX)
1603_g_at	PRKCI	protein kinase C iota	-1.393	8.434
1605_g_at	EPHA5	EPH receptor A5	0.513	4.44
1606_at	EPHA4	EPH receptor A4	-0.345	2.374
160_at	STAM	signal transducing adaptor molecule	-0.375	4.413
1611_s_at	IFNG	interferon gamma	0.247	2.115
1613_s_at	USP32///USP6	ubiquitin specific peptidase 32///ubiquitin specific peptidase 6	0.582	4.704
1616_at	FGF9	fibroblast growth factor 9	-1.855	8.425
1626_at	MUSK	muscle associated receptor tyrosine kinase	0.668	4.95
1628_at			0.413	5.063
1629_s_at	PTPN13	protein tyrosine phosphatase, non-receptor type 13	-0.481	4.406
162_at	USP11	ubiquitin specific peptidase 11	-0.417	2.172
1630_s_at	SYK	spleen associated tyrosine kinase	0.533	3.391
1631_at			0.352	2.734
1633_g_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	1.168	5.794
1634_s_at	TGFB1	transforming growth factor beta 1	0.696	8.621
1635_at	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	-0.485	5.448
1638_at	ETV6	ETS variant 6	0.668	4.459
163_at	DVL1	dishevelled segment polarity protein 1	0.409	4.001
1640_at	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	-1.457	5.148
1641_s_at	DDB1	damage specific DNA binding protein 1	-0.606	4.757
1642_at	MTA1	metastasis associated 1	0.379	3.196
1644_at	EIF3I	eukaryotic translation initiation factor 3 subunit I	-1.255	5.541
1645_at	KISS1	KiSS-1 metastasis-suppressor	0.452	4.621
1646_at	XIAP	X-linked inhibitor of apoptosis	0.712	3.411
1647_at	IQGAP2	IQ motif containing GTPase activating protein 2	-0.683	3.415
164_at	GNB3	G protein subunit beta 3	0.321	2.963
1650_g_at	SMOX	spermine oxidase	0.436	3.734
1651_at	UBE2C	ubiquitin conjugating enzyme E2 C	0.743	4.709
1652_at	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	0.498	4.018
1658_g_at	PTPRR	protein tyrosine phosphatase, receptor type R	0.421	1.886
1659_s_at	RHEB	Ras homolog enriched in brain	-0.494	2
165_g_at	GNB3	G protein subunit beta 3	0.408	1.978
1660_at	UBE2N	ubiquitin conjugating enzyme E2 N	-0.841	3.202
1663_at	RARG	retinoic acid receptor gamma	0.372	4.296
1665_s_at	TYMP	thymidine phosphorylase	1.05	7.806
1667_s_at	CYP4B1	cytochrome P450 family 4 subfamily B member 1	0.446	3.795
1670_at	TFDP1	transcription factor Dp-1	0.416	3.394
1674_at	YES1	YES proto-oncogene 1, Src family tyrosine kinase	-1.209	6.992
1678_g_at	IGFBP5	insulin like growth factor binding protein 5	-1.159	7.358
167_at	EIF5	eukaryotic translation initiation factor 5	-0.82	4.188
1685_at	SPHAR///RAB4A	S-phase response (cyclin related)///RAB4A, member RAS oncogene family	-0.55	3.27
